Date and Time,Water Temp
2023-02-03T13:00:00-0800,44.6162
2023-02-03T14:00:00-0800,44.6918
2023-02-03T15:00:00-0800,44.69
2023-02-03T16:00:00-0800,44.7044
2023-02-03T17:00:00-0800,44.7206
2023-02-03T18:00:00-0800,44.7224
2023-02-03T19:00:00-0800,44.6882
2023-02-03T20:00:00-0800,44.6954
2023-02-03T21:00:00-0800,44.6612
2023-02-03T22:00:00-0800,44.6162
2023-02-03T23:00:00-0800,44.5892
2023-02-04T00:00:00-0800,44.681
2023-02-04T01:00:00-0800,44.6882
2023-02-04T02:00:00-0800,44.6252
2023-02-04T03:00:00-0800,44.7116
2023-02-04T04:00:00-0800,44.6918
2023-02-04T05:00:00-0800,44.7674
2023-02-04T06:00:00-0800,44.9474
2023-02-04T07:00:00-0800,44.9186
2023-02-04T08:00:00-0800,44.9294
2023-02-04T09:00:00-0800,44.9438
2023-02-04T10:00:00-0800,44.9618
2023-02-04T11:00:00-0800,44.9708
2023-02-04T12:00:00-0800,44.9942
2023-02-04T13:00:00-0800,45.0284
2023-02-04T14:00:00-0800,45.077
2023-02-04T15:00:00-0800,45.122
2023-02-04T16:00:00-0800,45.2264
2023-02-04T17:00:00-0800,45.0086
2023-02-04T18:00:00-0800,44.9996
2023-02-04T19:00:00-0800,45.0374
2023-02-04T20:00:00-0800,45.0356
2023-02-04T21:00:00-0800,45.0842
2023-02-04T22:00:00-0800,45.077
2023-02-04T23:00:00-0800,45.1076
2023-02-05T00:00:00-0800,45.1022
2023-02-05T01:00:00-0800,45.1112
2023-02-05T02:00:00-0800,45.1004
2023-02-05T03:00:00-0800,45.0842
2023-02-05T04:00:00-0800,45.0878
2023-02-05T05:00:00-0800,45.0662
2023-02-05T06:00:00-0800,45.167
2023-02-05T07:00:00-0800,45.104
2023-02-05T08:00:00-0800,44.8394
2023-02-05T09:00:00-0800,44.8394
2023-02-05T10:00:00-0800,44.7836
2023-02-05T11:00:00-0800,44.8178
2023-02-05T12:00:00-0800,44.8682
2023-02-05T13:00:00-0800,44.8592
2023-02-05T14:00:00-0800,44.9438
2023-02-05T15:00:00-0800,44.861
2023-02-05T16:00:00-0800,44.897
2023-02-05T17:00:00-0800,44.8142
2023-02-05T18:00:00-0800,44.8178
2023-02-05T19:00:00-0800,44.7818
2023-02-05T20:00:00-0800,44.7728
2023-02-05T21:00:00-0800,44.7836
2023-02-05T22:00:00-0800,44.8322
2023-02-05T23:00:00-0800,44.7656
2023-02-06T00:00:00-0800,44.78
2023-02-06T01:00:00-0800,44.78
2023-02-06T02:00:00-0800,44.7854
2023-02-06T03:00:00-0800,44.834
2023-02-06T04:00:00-0800,44.9186
2023-02-06T05:00:00-0800,44.9474
2023-02-06T06:00:00-0800,44.933
2023-02-06T07:00:00-0800,44.9168
2023-02-06T08:00:00-0800,44.8898
2023-02-06T09:00:00-0800,44.9042
2023-02-06T10:00:00-0800,44.8952
2023-02-06T11:00:00-0800,44.9024
2023-02-06T12:00:00-0800,44.9168
2023-02-06T13:00:00-0800,44.9384
2023-02-06T14:00:00-0800,44.9618
2023-02-06T15:00:00-0800,44.96
2023-02-06T16:00:00-0800,44.9654
2023-02-06T17:00:00-0800,45.0086
2023-02-06T18:00:00-0800,45.0572
2023-02-06T19:00:00-0800,45.0302
2023-02-06T20:00:00-0800,44.9996
2023-02-06T21:00:00-0800,44.8808
2023-02-06T22:00:00-0800,44.8556
2023-02-06T23:00:00-0800,44.9924
2023-02-07T00:00:00-0800,44.4758
2023-02-07T01:00:00-0800,44.78
2023-02-07T02:00:00-0800,44.96
2023-02-07T03:00:00-0800,44.96
2023-02-07T04:00:00-0800,44.9114
2023-02-07T05:00:00-0800,44.9996
2023-02-07T06:00:00-0800,44.9978
2023-02-07T07:00:00-0800,44.9096
2023-02-07T08:00:00-0800,44.7584
2023-02-07T09:00:00-0800,44.6774
2023-02-07T10:00:00-0800,44.6054
2023-02-07T11:00:00-0800,44.9186
2023-02-07T12:00:00-0800,44.6756
2023-02-07T13:00:00-0800,44.8466
2023-02-07T14:00:00-0800,45.0194
2023-02-07T15:00:00-0800,44.9438
2023-02-07T16:00:00-0800,44.9834
2023-02-07T17:00:00-0800,44.9582
2023-02-07T18:00:00-0800,44.834
2023-02-07T19:00:00-0800,44.7692
2023-02-07T20:00:00-0800,44.834
2023-02-07T21:00:00-0800,44.6468
2023-02-07T22:00:00-0800,44.7134
2023-02-07T23:00:00-0800,44.7188
2023-02-08T00:00:00-0800,44.7134
2023-02-08T01:00:00-0800,44.6882
2023-02-08T02:00:00-0800,44.7242
2023-02-08T03:00:00-0800,44.2904
2023-02-08T04:00:00-0800,44.4326
2023-02-08T05:00:00-0800,44.4632
2023-02-08T06:00:00-0800,44.672
2023-02-08T07:00:00-0800,44.357
2023-02-08T08:00:00-0800,44.51
2023-02-08T09:00:00-0800,44.2364
2023-02-08T10:00:00-0800,44.6792
2023-02-08T11:00:00-0800,44.3984
2023-02-08T12:00:00-0800,44.3426
2023-02-08T13:00:00-0800,44.537
2023-02-08T14:00:00-0800,44.8034
2023-02-08T15:00:00-0800,44.8502
2023-02-08T16:00:00-0800,44.8772
2023-02-08T17:00:00-0800,44.9564
2023-02-08T18:00:00-0800,44.9924
2023-02-08T19:00:00-0800,45.0104
2023-02-08T20:00:00-0800,44.9906
2023-02-08T21:00:00-0800,44.9762
2023-02-08T22:00:00-0800,44.9852
2023-02-08T23:00:00-0800,44.978
2023-02-09T00:00:00-0800,44.9672
2023-02-09T01:00:00-0800,44.9762
