Year_UTC,Month_UTC,Day_UTC,Latitude,Longitude,pH_T_measured,pH_flag
2021,6,27,48.356,-126.307,7.7647,2
2021,6,27,48.356,-126.307,7.7517,2
2021,6,27,48.356,-126.307,7.8518,3
2021,6,27,48.356,-126.307,7.9055,2
2021,6,27,48.356,-126.307,7.9218,6
2021,6,27,48.356,-126.307,7.9263,2
2021,6,27,48.356,-126.307,-999,9
2021,6,27,48.433,-126.227,7.2795,2
2021,6,27,48.433,-126.227,-999,9
2021,6,27,48.433,-126.227,7.3141,6
2021,6,27,48.432,-126.227,7.3403,2
2021,6,27,48.432,-126.227,7.4109,2
2021,6,27,48.432,-126.228,7.4363,2
2021,6,27,48.432,-126.228,7.4672,2
2021,6,27,48.432,-126.228,-999,9
2021,6,27,48.432,-126.228,7.5084,2
2021,6,27,48.432,-126.228,-999,9
2021,6,27,48.432,-126.228,7.5998,2
2021,6,27,48.432,-126.228,7.7182,2
2021,6,27,48.432,-126.227,7.7547,2
2021,6,27,48.432,-126.227,7.758,2
2021,6,27,48.432,-126.227,7.7958,2
2021,6,27,48.432,-126.227,7.8906,2
2021,6,27,48.432,-126.227,7.9178,2
2021,6,27,48.432,-126.227,7.924,2
2021,6,27,48.432,-126.227,7.9356,2
2021,6,27,48.432,-126.227,-999,9
2021,6,27,48.537,-125.996,7.3183,2
2021,6,27,48.537,-125.996,-999,9
2021,6,27,48.537,-125.996,7.3744,6
2021,6,27,48.537,-125.996,7.4167,3
2021,6,27,48.537,-125.996,7.3995,2
2021,6,27,48.537,-125.996,-999,9
2021,6,27,48.537,-125.996,7.6543,2
2021,6,27,48.537,-125.996,7.7522,2
2021,6,27,48.537,-125.996,7.8027,2
2021,6,27,48.536,-125.996,7.8881,2
2021,6,27,48.536,-125.996,7.9337,6
2021,6,27,48.536,-125.996,7.9703,2
2021,6,27,48.536,-125.996,-999,9
2021,6,27,48.658,-125.782,7.4321,2
2021,6,27,48.658,-125.782,-999,9
2021,6,27,48.658,-125.782,7.4614,6
2021,6,27,48.658,-125.782,7.4524,2
2021,6,27,48.658,-125.782,7.6341,2
2021,6,27,48.658,-125.782,7.7033,2
2021,6,27,48.658,-125.782,7.7885,6
2021,6,27,48.658,-125.782,7.9099,2
2021,6,27,48.658,-125.782,-999,9
2021,6,28,48.719,-125.677,7.3744,3
2021,6,28,48.719,-125.677,-999,9
2021,6,28,48.719,-125.677,7.3941,6
2021,6,28,48.719,-125.677,7.4306,2
2021,6,28,48.719,-125.677,7.4412,2
2021,6,28,48.719,-125.677,-999,9
2021,6,28,48.719,-125.677,7.429,2
2021,6,28,48.718,-125.677,7.426,2
2021,6,28,48.718,-125.677,7.4367,2
2021,6,28,48.718,-125.677,7.4969,2
2021,6,28,48.718,-125.677,-999,9
2021,6,28,48.718,-125.677,-999,9
2021,6,28,48.718,-125.677,7.5906,2
2021,6,28,48.718,-125.677,7.9596,3
2021,6,28,48.718,-125.677,8.0813,2
2021,6,28,48.718,-125.677,-999,9
2021,6,28,48.718,-125.677,-999,9
2021,6,28,48.718,-125.677,-999,9
2021,6,28,48.781,-125.575,7.3817,2
2021,6,28,48.781,-125.575,-999,9
2021,6,28,48.781,-125.575,7.3946,6
2021,6,28,48.781,-125.575,7.4331,2
2021,6,28,48.781,-125.575,7.4605,2
2021,6,28,48.781,-125.575,-999,9
2021,6,28,48.781,-125.575,7.4649,2
2021,6,28,48.781,-125.575,7.4887,2
2021,6,28,48.781,-125.575,7.5328,2
2021,6,28,48.781,-125.575,7.6046,6
2021,6,28,48.781,-125.575,7.6316,2
2021,6,28,48.78,-125.575,7.7209,2
2021,6,28,48.78,-125.575,8.1014,3
2021,6,28,48.78,-125.575,-999,9
2021,6,28,48.81,-125.517,7.3803,2
2021,6,28,48.81,-125.517,-999,9
2021,6,28,48.81,-125.517,7.412,6
2021,6,28,48.81,-125.517,7.4366,2
2021,6,28,48.81,-125.517,7.4424,2
2021,6,28,48.81,-125.517,-999,9
2021,6,28,48.81,-125.517,7.4714,2
2021,6,28,48.811,-125.517,7.5168,6
2021,6,28,48.811,-125.517,-999,9
2021,6,28,48.811,-125.517,-999,9
2021,6,28,48.811,-125.517,7.5627,2
2021,6,28,48.811,-125.517,7.673,2
